
2021/11/13 (22:02:12) | ===> btop++ v.1.0.20
2021/11/13 (22:02:12) | ERROR: Failed to get size of terminal!

2022/03/07 (23:10:40) | ===> btop++ v.1.2.5
2022/03/07 (23:10:40) | ERROR: No UTF-8 locale detected!
Use --utf-force argument to force start if you're sure your terminal can handle it.

2022/03/07 (23:10:47) | ===> btop++ v.1.2.5
2022/03/07 (23:10:47) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.

2022/03/13 (22:24:35) | ===> btop++ v.1.2.5
2022/03/13 (22:24:35) | ERROR: Stall in Runner thread, restarting!

2022/03/17 (23:19:45) | ===> btop++ v.1.2.5
2022/03/17 (23:19:45) | ERROR: Stall in Runner thread, restarting!

2022/05/06 (03:55:31) | ===> btop++ v.1.2.6
2022/05/06 (03:55:31) | ERROR: Stall in Runner thread, restarting!
